Scenario;Duration (h);Time Steps;# Buses;# Generators;# Loads;# AC Lines;# Transformers;# Contingencies;Total Load (pu);Total Generation (pu);Grid Size;Status;Description
Processing scenario_124.json in C3E1N04200D2;48.0;48;4224;478;1673;2605;2325;2313;18.729.262.380.655.300;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 48.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 187.293 pu and reactive load is 90.710 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_111.json in C3E1N04200D2;48.0;48;4224;478;1673;2605;2325;2313;2.744.340.354.602.670;29.722.161.459.075.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 48.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 274.434 pu and reactive load is 132.914 pu. The generators produce 297.222 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_130.json in C3E1N04200D2;48.0;48;4224;478;1673;2605;2325;2313;29.902.243.618.268.200;29.418.287.103.925.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 48.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 299.022 pu and reactive load is 144.823 pu. The generators produce 294.183 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_118.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;2.988.760.444.530.200;3.149.745.868.079.990;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 298.876 pu and reactive load is 144.752 pu. The generators produce 314.975 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_129.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;24.876.597.422.648.700;3.094.149.117.375.990;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 248.766 pu and reactive load is 120.483 pu. The generators produce 309.415 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_114.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;25.698.858.367.951.700;31.353.971.763.999.900;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 256.989 pu and reactive load is 124.465 pu. The generators produce 313.540 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_121.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;24.816.482.084.701.300;30.923.023.121.899.900;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 248.165 pu and reactive load is 120.192 pu. The generators produce 309.230 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_124.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;21.119.822.618.970.100;3.191.158.193.799.990;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 211.198 pu and reactive load is 102.288 pu. The generators produce 319.116 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_111.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;2.140.817.285.039.540;30.817.450.877.499.900;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 214.082 pu and reactive load is 103.685 pu. The generators produce 308.175 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_120.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;21.219.767.148.747.100;29.987.992.613.699.900;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 212.198 pu and reactive load is 102.772 pu. The generators produce 299.880 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_130.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;22.522.108.885.060.900;31.069.393.358.199.900;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 225.221 pu and reactive load is 109.080 pu. The generators produce 310.694 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_119.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;21.727.238.585.458.000;29.989.566.591.349.900;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 217.272 pu and reactive load is 105.230 pu. The generators produce 299.896 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_128.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;21.119.822.618.970.100;3.191.158.193.799.990;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 211.198 pu and reactive load is 102.288 pu. The generators produce 319.116 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_117.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;3.087.864.747.588.530;30.131.282.898.499.900;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 308.786 pu and reactive load is 149.552 pu. The generators produce 301.313 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_113.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;28.323.091.877.806.600;3.125.809.383.759.990;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 283.231 pu and reactive load is 137.175 pu. The generators produce 312.581 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_122.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;14.373.560.501.442.500;3.196.101.661.199.990;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 143.736 pu and reactive load is 69.614 pu. The generators produce 319.610 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_112.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;2.442.350.251.562.610;29.988.121.502.549.900;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 244.235 pu and reactive load is 118.288 pu. The generators produce 299.881 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_123.json in C3E1N01576D2;48.0;48;1576;615;1449;2227;144;219;304.457.546.797.271;30.330.653.350.349.900;Large;Valid;This is a Large grid with 1576 buses and a planning horizon of 48.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 304.458 pu and reactive load is 147.456 pu. The generators produce 303.307 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_117.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;7.814.745.040.219.690;2.478.989.873.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 78.147 pu and reactive load is 37.849 pu. The generators produce 247.899 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_113.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;846.073.420.486.398;1.391.271.153.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 84.607 pu and reactive load is 40.977 pu. The generators produce 139.127 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_122.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;4.774.501.144.456.200;13.214.314.024.830.000;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 47.745 pu and reactive load is 23.124 pu. The generators produce 132.143 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_116.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;7.401.104.899.890.360;17.583.278.024.830.000;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 74.011 pu and reactive load is 35.845 pu. The generators produce 175.833 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_002.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;9.600.199.981.349.990;9.845.595.726.060.000;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 96.002 pu and reactive load is 25.554 pu. The generators produce 98.456 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_112.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;820.234.540.919.155;1.938.581.072.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 82.023 pu and reactive load is 39.726 pu. The generators produce 193.858 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_118.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;85.158.305.612.574;2.573.367.762.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 85.158 pu and reactive load is 41.244 pu. The generators produce 257.337 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_129.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;8.147.953.254.682.860;1.935.706.552.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 81.480 pu and reactive load is 39.462 pu. The generators produce 193.571 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_121.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;9.600.199.981.350.000;2.719.095.173.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 96.002 pu and reactive load is 46.496 pu. The generators produce 271.910 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_114.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;7.222.955.706.657.440;2.466.419.372.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 72.230 pu and reactive load is 34.982 pu. The generators produce 246.642 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_115.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;9.083.126.008.860.800;2.466.419.372.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 90.831 pu and reactive load is 43.992 pu. The generators produce 246.642 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_124.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;6.928.772.779.531.710;1.429.793.212.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 69.288 pu and reactive load is 33.558 pu. The generators produce 142.979 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_111.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;8.766.238.191.252.410;1.670.139.272.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 87.662 pu and reactive load is 42.457 pu. The generators produce 167.014 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_120.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;8.203.990.746.989.220;2.466.419.372.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 82.040 pu and reactive load is 39.734 pu. The generators produce 246.642 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_130.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;6.792.428.462.452.330;2.466.419.372.483;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 67.924 pu and reactive load is 32.897 pu. The generators produce 246.642 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_119.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;8.984.421.129.012.270;13.804.474.746.830.000;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 89.844 pu and reactive load is 43.514 pu. The generators produce 138.045 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_128.json in C3E1N00600D2;48.0;48;617;94;405;723;130;562;7.042.778.280.484.730;21.050.629.724.830.000;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 48.0 hours. It has 94 producers and 405 consumers. Total initial active load is 70.428 pu and reactive load is 34.110 pu. The generators produce 210.506 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_114.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;6.005.700.128.729.880;41.570.577.234.999.900;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 6.006 pu and reactive load is 2.909 pu. The generators produce 4.157 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_124.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;5.761.094.745.987.470;38.518.577.255;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 5.761 pu and reactive load is 2.790 pu. The generators produce 3.852 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_111.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;5.761.894.591.323.910;42.812.157.435;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 5.762 pu and reactive load is 2.791 pu. The generators produce 4.281 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_120.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;6.131.587.460.366.470;40.321.077.235;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 6.132 pu and reactive load is 2.970 pu. The generators produce 4.032 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_119.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;6.958.799.437.481.930;43.118.617.235;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 6.959 pu and reactive load is 3.370 pu. The generators produce 4.312 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_130.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;5.651.840.512.233.640;41.570.577.234.999.900;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 5.652 pu and reactive load is 2.737 pu. The generators produce 4.157 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_116.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;615.382.651.477.555;42.917.497.235;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 6.154 pu and reactive load is 2.980 pu. The generators produce 4.292 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_118.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;6.980.508.822.322.320;42.975.457.485;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 6.981 pu and reactive load is 3.381 pu. The generators produce 4.298 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_117.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;51.064.993.361.377.300;41.283.577.235;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 5.106 pu and reactive load is 2.473 pu. The generators produce 4.128 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_122.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;3.969.873.785.465.180;38.529.077.215;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 3.970 pu and reactive load is 1.923 pu. The generators produce 3.853 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_113.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;7.034.880.830.708.240;41.470.857.435;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 7.035 pu and reactive load is 3.407 pu. The generators produce 4.147 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_129.json in C3E1N00037D2;48.0;48;37;8;26;43;14;40;6.806.596.383.845.630;41.049.077.235;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 48.0 hours. It has 8 producers and 26 consumers. Total initial active load is 6.807 pu and reactive load is 3.297 pu. The generators produce 4.105 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_124.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.27153231471561;0.1995;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.272 pu and reactive load is 0.132 pu. The generators produce 0.200 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_129.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.3077320182968858;0.2615;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.308 pu and reactive load is 0.149 pu. The generators produce 0.262 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_114.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.36367235660072206;0.3855;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.364 pu and reactive load is 0.176 pu. The generators produce 0.386 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_121.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.3260556557446085;0.0075;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.326 pu and reactive load is 0.158 pu. The generators produce 0.007 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_123.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.3600334678748331;0.0075;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.360 pu and reactive load is 0.174 pu. The generators produce 0.007 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_111.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.3519898249602285;0.5075;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.352 pu and reactive load is 0.170 pu. The generators produce 0.507 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_125.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.32203731092234217;0.0075;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.322 pu and reactive load is 0.156 pu. The generators produce 0.007 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_119.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.276250589544597;0.1875;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.276 pu and reactive load is 0.134 pu. The generators produce 0.188 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_130.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.3854322721046655;0.251;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.385 pu and reactive load is 0.187 pu. The generators produce 0.251 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_118.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.2416989806518766;0.051;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.242 pu and reactive load is 0.117 pu. The generators produce 0.051 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_120.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.35980782367703296;0.20450000000000002;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.360 pu and reactive load is 0.174 pu. The generators produce 0.205 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_126.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.20610777497304839;0.0075;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.206 pu and reactive load is 0.100 pu. The generators produce 0.007 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_117.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.3560846763817863;0.191;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.356 pu and reactive load is 0.172 pu. The generators produce 0.191 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_122.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.2561198846432399;0.25;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.256 pu and reactive load is 0.124 pu. The generators produce 0.250 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_113.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.2865742705539537;0.0075;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.287 pu and reactive load is 0.139 pu. The generators produce 0.007 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_112.json in C3E1N00003D2;48.0;48;3;2;1;2;2;2;0.24801131050650185;0.028;Small;Valid;This is a Small grid with 3 buses and a planning horizon of 48.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.248 pu and reactive load is 0.120 pu. The generators produce 0.028 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_118.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;7.961.816.698.504.160;4.960.283.109.000.000;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 79.618 pu and reactive load is 38.561 pu. The generators produce 49.603 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_129.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;8.550.000.000.000.000;858.403.837;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 85.500 pu and reactive load is 41.410 pu. The generators produce 8.584 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_119.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;7.521.439.756.359.710;10.179.411.234;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 75.214 pu and reactive load is 36.428 pu. The generators produce 10.179 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_124.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;7.041.297.920.287.800;3.533.451.660.099.990;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 70.413 pu and reactive load is 34.103 pu. The generators produce 35.335 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_130.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;7.487.887.278.260.200;7.386.892.936.999.990;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 74.879 pu and reactive load is 36.265 pu. The generators produce 7.387 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_121.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;826.266.267.061.334;17.721.044.419.000.000;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 82.627 pu and reactive load is 40.018 pu. The generators produce 17.721 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_120.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;7.719.904.739.467.590;9.153.422.599.999.990;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 77.199 pu and reactive load is 37.389 pu. The generators produce 9.153 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_111.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;5.843.268.207.868.870;36.955.895.711.000.000;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 58.433 pu and reactive load is 28.300 pu. The generators produce 36.956 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_114.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;7.513.102.536.721.210;22.091.028.799.999.900;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 75.131 pu and reactive load is 36.388 pu. The generators produce 22.091 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_117.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;6.415.406.726.924.430;241.725.536;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 64.154 pu and reactive load is 31.071 pu. The generators produce 24.173 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_126.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;7.044.572.064.288.360;21.513.202.693.999.900;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 70.446 pu and reactive load is 34.118 pu. The generators produce 21.513 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_122.json in C3E1N00073D2;48.0;48;73;154;51;105;15;2;7.137.003.360.755.300;17.379.341.949.999.900;Large;Valid;This is a Large grid with 73 buses and a planning horizon of 48.0 hours. It has 154 producers and 51 consumers. Total initial active load is 71.370 pu and reactive load is 34.566 pu. The generators produce 17.379 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
